Timestep,Agent_ID,Position_X,Position_Y,Action_Status
0,0,2,1,0
1,0,2,2,0
2,0,1,2,0
3,0,1,3,0
4,0,1,4,2
5,0,1,4,2
6,0,1,4,2
7,0,1,4,2
8,0,1,4,2
9,0,1,4,2
10,0,1,4,2
11,0,1,4,2
12,0,1,4,2
13,0,1,4,2
14,0,1,4,2
15,0,1,4,2
16,0,1,4,2
17,0,1,4,2
18,0,1,4,2
19,0,1,4,2
20,0,1,4,2
21,0,1,4,2
22,0,1,4,2
23,0,1,4,2
24,0,1,4,2
25,0,1,4,2
26,0,1,4,2
27,0,1,4,2
28,0,1,4,2
29,0,1,4,2
30,0,1,4,2
31,0,1,4,2
32,0,1,4,2
33,0,1,4,2
34,0,1,4,2
0,1,3,1,0
1,1,3,2,0
2,1,3,3,0
3,1,4,3,0
4,1,5,3,0
5,1,6,3,0
6,1,7,3,0
7,1,8,3,0
8,1,9,3,0
9,1,10,3,0
10,1,11,3,0
11,1,12,3,0
12,1,13,3,0
13,1,14,3,0
14,1,15,3,0
15,1,16,3,0
16,1,17,3,0
17,1,18,3,0
18,1,19,3,0
19,1,20,3,0
20,1,21,3,0
21,1,22,3,0
22,1,23,3,0
23,1,24,3,0
24,1,24,4,0
25,1,25,4,0
26,1,26,4,2
27,1,26,4,2
28,1,26,4,2
29,1,26,4,2
30,1,26,4,2
31,1,26,4,2
32,1,26,4,2
33,1,26,4,2
34,1,26,4,2
0,2,4,1,0
1,2,3,1,0
2,2,2,1,0
3,2,2,2,0
4,2,2,3,0
5,2,2,4,0
6,2,2,5,0
7,2,1,5,2
8,2,1,5,2
9,2,1,5,2
10,2,1,5,2
11,2,1,5,2
12,2,1,5,2
13,2,1,5,2
14,2,1,5,2
15,2,1,5,2
16,2,1,5,2
17,2,1,5,2
18,2,1,5,2
19,2,1,5,2
20,2,1,5,2
21,2,1,5,2
22,2,1,5,2
23,2,1,5,2
24,2,1,5,2
25,2,1,5,2
26,2,1,5,2
27,2,1,5,2
28,2,1,5,2
29,2,1,5,2
30,2,1,5,2
31,2,1,5,2
32,2,1,5,2
33,2,1,5,2
34,2,1,5,2
0,3,5,1,0
1,3,5,2,0
2,3,5,3,0
3,3,6,3,0
4,3,7,3,0
5,3,7,4,0
6,3,7,5,0
7,3,8,5,0
8,3,9,5,0
9,3,10,5,0
10,3,11,5,0
11,3,12,5,0
12,3,13,5,0
13,3,14,5,0
14,3,15,5,0
15,3,16,5,0
16,3,17,5,0
17,3,18,5,0
18,3,19,5,0
19,3,20,5,0
20,3,21,5,0
21,3,22,5,0
22,3,23,5,0
23,3,24,5,0
24,3,25,5,0
25,3,26,5,2
26,3,26,5,2
27,3,26,5,2
28,3,26,5,2
29,3,26,5,2
30,3,26,5,2
31,3,26,5,2
32,3,26,5,2
33,3,26,5,2
34,3,26,5,2
0,4,6,1,0
1,4,5,1,0
2,4,4,1,0
3,4,3,1,0
4,4,2,1,0
5,4,2,2,0
6,4,2,3,0
7,4,2,4,0
8,4,2,5,0
9,4,2,6,0
10,4,1,6,2
11,4,1,6,2
12,4,1,6,2
13,4,1,6,2
14,4,1,6,2
15,4,1,6,2
16,4,1,6,2
17,4,1,6,2
18,4,1,6,2
19,4,1,6,2
20,4,1,6,2
21,4,1,6,2
22,4,1,6,2
23,4,1,6,2
24,4,1,6,2
25,4,1,6,2
26,4,1,6,2
27,4,1,6,2
28,4,1,6,2
29,4,1,6,2
30,4,1,6,2
31,4,1,6,2
32,4,1,6,2
33,4,1,6,2
34,4,1,6,2
0,5,7,1,0
1,5,7,2,0
2,5,7,3,0
3,5,7,4,0
4,5,7,5,0
5,5,7,6,0
6,5,8,6,0
7,5,9,6,0
8,5,10,6,0
9,5,11,6,0
10,5,12,6,0
11,5,13,6,0
12,5,14,6,0
13,5,15,6,0
14,5,16,6,0
15,5,17,6,0
16,5,18,6,0
17,5,19,6,0
18,5,20,6,0
19,5,21,6,0
20,5,22,6,0
21,5,23,6,0
22,5,24,6,0
23,5,25,6,0
24,5,26,6,2
25,5,26,6,2
26,5,26,6,2
27,5,26,6,2
28,5,26,6,2
29,5,26,6,2
30,5,26,6,2
31,5,26,6,2
32,5,26,6,2
33,5,26,6,2
34,5,26,6,2
0,6,8,1,0
1,6,7,1,0
2,6,6,1,0
3,6,5,1,0
4,6,4,1,0
5,6,3,1,0
6,6,2,1,0
7,6,2,2,0
8,6,2,3,0
9,6,2,4,0
10,6,2,5,0
11,6,2,6,0
12,6,2,7,0
13,6,1,7,2
14,6,1,7,2
15,6,1,7,2
16,6,1,7,2
17,6,1,7,2
18,6,1,7,2
19,6,1,7,2
20,6,1,7,2
21,6,1,7,2
22,6,1,7,2
23,6,1,7,2
24,6,1,7,2
25,6,1,7,2
26,6,1,7,2
27,6,1,7,2
28,6,1,7,2
29,6,1,7,2
30,6,1,7,2
31,6,1,7,2
32,6,1,7,2
33,6,1,7,2
34,6,1,7,2
0,7,9,1,0
1,7,9,2,0
2,7,9,3,0
3,7,10,3,0
4,7,11,3,0
5,7,12,3,0
6,7,12,4,0
7,7,12,5,0
8,7,12,6,0
9,7,12,7,0
10,7,13,7,0
11,7,14,7,0
12,7,15,7,0
13,7,16,7,0
14,7,17,7,0
15,7,18,7,0
16,7,19,7,0
17,7,20,7,0
18,7,21,7,0
19,7,22,7,0
20,7,23,7,0
21,7,24,7,0
22,7,25,7,0
23,7,26,7,2
24,7,26,7,2
25,7,26,7,2
26,7,26,7,2
27,7,26,7,2
28,7,26,7,2
29,7,26,7,2
30,7,26,7,2
31,7,26,7,2
32,7,26,7,2
33,7,26,7,2
34,7,26,7,2
0,8,10,1,0
1,8,9,1,0
2,8,8,1,0
3,8,7,1,0
4,8,6,1,0
5,8,5,1,0
6,8,4,1,0
7,8,3,1,0
8,8,2,1,0
9,8,2,2,0
10,8,2,3,0
11,8,2,4,0
12,8,2,5,0
13,8,2,6,0
14,8,2,7,0
15,8,2,8,0
16,8,1,8,2
17,8,1,8,2
18,8,1,8,2
19,8,1,8,2
20,8,1,8,2
21,8,1,8,2
22,8,1,8,2
23,8,1,8,2
24,8,1,8,2
25,8,1,8,2
26,8,1,8,2
27,8,1,8,2
28,8,1,8,2
29,8,1,8,2
30,8,1,8,2
31,8,1,8,2
32,8,1,8,2
33,8,1,8,2
