Timestep,Agent_ID,Position_X,Position_Y,Action_Status
0,0,1,2,0
1,0,1,1,0
2,0,2,1,0
3,0,3,1,0
4,0,4,1,2
5,0,4,1,2
6,0,4,1,2
7,0,4,1,2
8,0,4,1,2
9,0,4,1,2
10,0,4,1,2
11,0,4,1,2
12,0,4,1,2
13,0,4,1,2
14,0,4,1,2
15,0,4,1,2
16,0,4,1,2
17,0,4,1,2
18,0,4,1,2
19,0,4,1,2
20,0,4,1,2
21,0,4,1,2
22,0,4,1,2
23,0,4,1,2
24,0,4,1,2
25,0,4,1,2
26,0,4,1,2
27,0,4,1,2
28,0,4,1,2
29,0,4,1,2
30,0,4,1,2
31,0,4,1,2
32,0,4,1,2
33,0,4,1,2
34,0,4,1,2
0,1,1,3,0
1,1,2,3,0
2,1,2,4,0
3,1,2,5,0
4,1,2,6,0
5,1,2,7,0
6,1,2,8,0
7,1,2,9,0
8,1,2,10,0
9,1,2,11,0
10,1,2,12,0
11,1,2,13,0
12,1,2,14,0
13,1,2,15,0
14,1,2,16,0
15,1,2,17,0
16,1,2,18,0
17,1,2,19,0
18,1,2,20,0
19,1,2,21,0
20,1,2,22,0
21,1,2,23,0
22,1,2,24,0
23,1,3,24,0
24,1,4,24,2
25,1,4,24,2
26,1,4,24,2
27,1,4,24,2
28,1,4,24,2
29,1,4,24,2
30,1,4,24,2
31,1,4,24,2
32,1,4,24,2
33,1,4,24,2
34,1,4,24,2
0,2,1,4,0
1,2,1,3,0
2,2,1,2,0
3,2,2,2,0
4,2,3,2,0
5,2,4,2,0
6,2,5,2,0
7,2,5,1,0
8,2,6,1,0
9,2,7,1,0
10,2,8,1,0
11,2,9,1,2
12,2,9,1,2
13,2,9,1,2
14,2,9,1,2
15,2,9,1,2
16,2,9,1,2
17,2,9,1,2
18,2,9,1,2
19,2,9,1,2
20,2,9,1,2
21,2,9,1,2
22,2,9,1,2
23,2,9,1,2
24,2,9,1,2
25,2,9,1,2
26,2,9,1,2
27,2,9,1,2
28,2,9,1,2
29,2,9,1,2
30,2,9,1,2
31,2,9,1,2
32,2,9,1,2
33,2,9,1,2
34,2,9,1,2
0,3,1,5,0
1,3,2,5,0
2,3,2,6,0
3,3,2,7,0
4,3,2,8,0
5,3,2,9,0
6,3,2,10,0
7,3,2,11,0
8,3,2,12,0
9,3,2,13,0
10,3,2,14,0
11,3,2,15,0
12,3,2,16,0
13,3,2,17,0
14,3,2,18,0
15,3,2,19,0
16,3,2,20,0
17,3,2,21,0
18,3,2,22,0
19,3,2,23,0
20,3,2,24,0
21,3,3,24,0
22,3,4,24,0
23,3,5,24,0
24,3,6,24,0
25,3,7,24,0
26,3,8,24,0
27,3,9,24,2
28,3,9,24,2
29,3,9,24,2
30,3,9,24,2
31,3,9,24,2
32,3,9,24,2
33,3,9,24,2
34,3,9,24,2
0,4,1,6,0
1,4,1,5,0
2,4,1,4,0
3,4,2,4,0
4,4,3,4,0
5,4,3,3,0
6,4,4,3,0
7,4,5,3,0
8,4,6,3,0
9,4,7,3,0
10,4,8,3,0
11,4,9,3,0
12,4,10,3,0
13,4,10,4,2
14,4,10,4,2
15,4,10,4,2
16,4,10,4,2
17,4,10,4,2
18,4,10,4,2
19,4,10,4,2
20,4,10,4,2
21,4,10,4,2
22,4,10,4,2
23,4,10,4,2
24,4,10,4,2
25,4,10,4,2
26,4,10,4,2
27,4,10,4,2
28,4,10,4,2
29,4,10,4,2
30,4,10,4,2
31,4,10,4,2
32,4,10,4,2
33,4,10,4,2
34,4,10,4,2
0,5,1,7,0
1,5,2,7,0
2,5,3,7,0
3,5,4,7,0
4,5,5,7,0
5,5,6,7,0
6,5,7,7,0
7,5,8,7,0
8,5,9,7,0
9,5,10,7,0
10,5,10,6,2
11,5,10,6,2
12,5,10,6,2
13,5,10,6,2
14,5,10,6,2
15,5,10,6,2
16,5,10,6,2
17,5,10,6,2
18,5,10,6,2
19,5,10,6,2
20,5,10,6,2
21,5,10,6,2
22,5,10,6,2
23,5,10,6,2
24,5,10,6,2
25,5,10,6,2
26,5,10,6,2
27,5,10,6,2
28,5,10,6,2
29,5,10,6,2
30,5,10,6,2
31,5,10,6,2
32,5,10,6,2
33,5,10,6,2
34,5,10,6,2
0,6,1,8,0
1,6,2,8,0
2,6,3,8,0
3,6,4,8,0
4,6,5,8,0
5,6,6,8,0
6,6,7,8,0
7,6,8,8,0
8,6,9,8,0
9,6,10,8,0
10,6,10,9,2
11,6,10,9,2
12,6,10,9,2
13,6,10,9,2
14,6,10,9,2
15,6,10,9,2
16,6,10,9,2
17,6,10,9,2
18,6,10,9,2
19,6,10,9,2
20,6,10,9,2
21,6,10,9,2
22,6,10,9,2
23,6,10,9,2
24,6,10,9,2
25,6,10,9,2
26,6,10,9,2
27,6,10,9,2
28,6,10,9,2
29,6,10,9,2
30,6,10,9,2
31,6,10,9,2
32,6,10,9,2
33,6,10,9,2
34,6,10,9,2
0,7,1,9,0
1,7,1,10,0
2,7,1,11,0
3,7,2,11,0
4,7,3,11,0
5,7,3,12,0
6,7,4,12,0
7,7,5,12,0
8,7,6,12,0
9,7,7,12,0
10,7,8,12,0
11,7,9,12,0
12,7,10,12,0
13,7,10,11,2
14,7,10,11,2
15,7,10,11,2
16,7,10,11,2
17,7,10,11,2
18,7,10,11,2
19,7,10,11,2
20,7,10,11,2
21,7,10,11,2
22,7,10,11,2
23,7,10,11,2
24,7,10,11,2
25,7,10,11,2
26,7,10,11,2
27,7,10,11,2
28,7,10,11,2
29,7,10,11,2
30,7,10,11,2
31,7,10,11,2
32,7,10,11,2
33,7,10,11,2
34,7,10,11,2
0,8,1,10,0
1,8,1,11,0
2,8,2,11,0
3,8,2,12,0
4,8,2,13,0
5,8,3,13,0
6,8,4,13,0
7,8,5,13,0
8,8,6,13,0
9,8,7,13,0
10,8,8,13,0
11,8,9,13,0
12,8,10,13,0
13,8,10,14,2
14,8,10,14,2
15,8,10,14,2
16,8,10,14,2
17,8,10,14,2
18,8,10,14,2
19,8,10,14,2
20,8,10,14,2
21,8,10,14,2
22,8,10,14,2
23,8,10,14,2
24,8,10,14,2
25,8,10,14,2
26,8,10,14,2
27,8,10,14,2
28,8,10,14,2
29,8,10,14,2
30,8,10,14,2
31,8,10,14,2
32,8,10,14,2
33,8,10,14,2
34,8,10,14,2
0,9,1,11,0
1,9,1,12,0
2,9,2,12,0
3,9,2,13,0
4,9,3,13,0
5,9,4,13,0
6,9,5,13,0
7,9,6,13,0
8,9,7,13,0
9,9,8,13,0
10,9,9,13,0
11,9,10,13,0
12,9,10,14,0
13,9,10,15,0
14,9,10,16,2
15,9,10,16,2
16,9,10,16,2
17,9,10,16,2
18,9,10,16,2
19,9,10,16,2
20,9,10,16,2
21,9,10,16,2
22,9,10,16,2
23,9,10,16,2
24,9,10,16,2
25,9,10,16,2
26,9,10,16,2
27,9,10,16,2
28,9,10,16,2
29,9,10,16,2
30,9,10,16,2
31,9,10,16,2
32,9,10,16,2
33,9,10,16,2
34,9,10,16,2
0,10,1,12,0
1,10,2,12,0
2,10,2,13,0
3,10,2,14,0
4,10,2,15,0
5,10,2,16,0
6,10,2,17,0
7,10,2,18,0
8,10,3,18,0
9,10,4,18,0
10,10,5,18,0
11,10,6,18,0
12,10,7,18,0
13,10,8,18,0
14,10,9,18,0
15,10,10,18,0
16,10,10,19,2
17,10,10,19,2
18,10,10,19,2
19,10,10,19,2
20,10,10,19,2
21,10,10,19,2
22,10,10,19,2
23,10,10,19,2
24,10,10,19,2
25,10,10,19,2
26,10,10,19,2
27,10,10,19,2
28,10,10,19,2
29,10,10,19,2
30,10,10,19,2
31,10,10,19,2
32,10,10,19,2
33,10,10,19,2
34,10,10,19,2
0,11,1,13,0
1,11,2,13,0
2,11,2,14,0
3,11,2,15,0
4,11,2,16,0
5,11,2,17,0
6,11,2,18,0
7,11,3,18,0
8,11,4,18,0
9,11,5,18,0
10,11,6,18,0
11,11,7,18,0
12,11,8,18,0
13,11,9,18,0
14,11,10,18,0
15,11,10,19,0
16,11,10,20,0
17,11,10,21,2
18,11,10,21,2
19,11,10,21,2
20,11,10,21,2
21,11,10,21,2
22,11,10,21,2
23,11,10,21,2
24,11,10,21,2
25,11,10,21,2
26,11,10,21,2
27,11,10,21,2
28,11,10,21,2
29,11,10,21,2
30,11,10,21,2
31,11,10,21,2
32,11,10,21,2
33,11,10,21,2
34,11,10,21,2
0,12,1,14,0
1,12,1,13,0
2,12,1,12,0
3,12,1,11,0
4,12,1,10,0
5,12,1,9,0
6,12,1,8,0
7,12,1,7,0
8,12,2,7,0
9,12,3,7,0
10,12,4,7,0
11,12,5,7,0
12,12,6,7,0
13,12,7,7,0
14,12,8,7,0
15,12,9,7,0
16,12,10,7,0
17,12,11,7,0
18,12,11,6,0
19,12,11,5,0
20,12,11,4,0
21,12,12,4,0
22,12,13,4,2
23,12,13,4,2
24,12,13,4,2
25,12,13,4,2
26,12,13,4,2
27,12,13,4,2
28,12,13,4,2
29,12,13,4,2
30,12,13,4,2
31,12,13,4,2
32,12,13,4,2
33,12,13,4,2
34,12,13,4,2
0,13,1,15,0
1,13,1,14,0
2,13,1,13,0
3,13,1,12,0
4,13,1,11,0
5,13,1,10,0
6,13,1,9,0
7,13,1,8,0
8,13,1,7,0
9,13,2,7,0
10,13,3,7,0
